position,docid,date,court,title
865,67043415,2017-07-17,Madras High Court,"The Executive Director vs Central Government Industrial ... on 17 July, 2017"
866,196973543,2017-02-02,Chattisgarh High Court,"State Of Chhattisgarh vs Vineet Singh Construction Company Pvt. ... on 2 February, 2017"
867,150873031,2020-01-13,Patna High Court,"Shree Gopal Construction And ... vs The State Of Bihar on 13 January, 2020"
868,142212338,2019-01-25,Gauhati High Court,"M/S Subhash Projects And Marketing ... vs Assam Urban Water Supply And Sewerage ... on 25 January, 2019"
869,18678728,2019-12-17,Delhi High Court,"Prime Market Reach Pvt Ltd vs Supreme Advertising Pvt Ltd on 17 December, 2019"
870,138406310,2018-07-16,Delhi High Court,"Delhi Tourism & Transportation vs Gammon India Limited on 16 July, 2018"
871,6755699,2017-07-17,Madras High Court,"The Executive Director vs Central Government Industrial ... on 17 July, 2017"
872,136505449,2018-02-02,Rajasthan High Court - Jaipur,"Django Navigation Ltd vs Indo Ferro Metal Pvt Ltd on 2 February, 2018"
873,167451691,2019-09-23,Tripura High Court,"Arb. P. No.15/2019 vs The State Of Tripura on 23 September, 2019"
874,8817544,2018-01-19,Gujarat High Court,"Ghanshyamhai Indravadanbhai Pandya & vs Oil And Natural Gas Corporation on 19 January, 2018"
875,138933966,2020-01-08,Calcutta High Court (Appellete Side),"M/S. Eastern Coalfields Ltd. & Ors vs Ane Industries Pvt. Ltd. & Ors on 8 January, 2020"
876,77204310,2017-07-28,Calcutta High Court,"R.K. Associates And Hotelier Private ... vs The Union Of India on 28 July, 2017"
877,152482230,2017-12-18,Madhya Pradesh High Court,"Intelenet Global Services Pvt. Ltd. ... vs Madhya Pradesh Paschim Kshetra Vidyut ... on 18 December, 2017"
878,74297670,2019-01-14,Karnataka High Court,"M/S Bosch Limited vs Labour Through Karnataka Rakshak on 14 January, 2019"
879,65644845,2015-07-13,Gauhati High Court,"M/S Holiday Air Travels vs Oil And Natural Gas Corporation Ltd. & 2 ... on 13 July, 2015"
880,60268703,2013-02-21,Karnataka High Court,"Vinod Goel vs State Of Karnataka By on 21 February, 2013"
881,94681046,2015-07-16,Chattisgarh High Court,"M.K.Saha vs Rashtriya Pariyojana Nirman Nigam on 16 July, 2015"
882,37910992,2016-10-27,Punjab-Haryana High Court,"Reliance Infrastructure Ltd vs Haryana Power Generation Corp Ltd on 27 October, 2016"
883,83075591,2014-06-09,Delhi High Court,"M/S National Highways Authority Of ... vs M/S Afcons-Apil (Jv) on 9 June, 2014"
884,132573071,2016-07-15,Madras High Court,"M/S. S.K.S.Logistic Ltd vs Oil & Natural Gas Corporation Ltd on 15 July, 2016"
885,118677512,2012-10-16,Bombay High Court,"M/S. Roman Tarmat Ltd vs M/S. (Indukuru Venku Reddy ... on 16 October, 2012"
886,1412949,2010-09-22,Chattisgarh High Court,"M/S Bharat Aluminium Company vs Engineering Projects India on 22 September, 2010"
887,140619012,2012-05-01,Gujarat High Court,"State vs B on 1 May, 2012"
888,80247849,2014-12-26,Delhi High Court,"Credit Agricole, Cib vs Jvl Agro Industries Ltd. & Ors. on 26 December, 2014"
889,11325311,2014-07-28,Delhi High Court,"Vinay Sharma And Ors. vs Indraprastha Gas Ltd. And Anr. on 28 July, 2014"
890,128221692,2016-07-12,Patna High Court,"Keshav Prasad Pandey vs Binod Kumar Jain & Ors on 12 July, 2016"
891,114984701,2016-07-15,Madras High Court,"M/S. S.K.S.Logistic Ltd vs Oil & Natural Gas Corporation Ltd on 15 July, 2016"
892,186530203,2015-03-12,Andhra HC (Pre-Telangana),"P.Madhusudhan Rao vs Lt.Col.Ravi Manan, And Another on 12 March, 2015"
893,175599694,2016-06-01,Delhi High Court,"P.P.S Construction Company Pvt Ltd vs Advance Valves Pvt Ltd on 1 June, 2016"
894,1197351,2000-11-17,Gujarat High Court,"Food Corporation Of India Workers' ... vs Food Corporation Of India And Ors. on 17 November, 2000"
895,1932011,2007-12-20,Gujarat High Court,"Sachin Water Supply Company Pvt. Ltd. vs G.I.D.C. And 3 Ors. on 20 December, 2007"
896,1844640,2003-11-06,Andhra HC (Pre-Telangana),"Municipal Corporation Of Kurnool vs K. Veeranna And Anr. on 6 November, 2003"
897,1038373,2007-07-25,Madras High Court,"The Management Of vs The Presiding Officer on 25 July, 2007"
898,788983,2002-02-14,Madras High Court,"M/S.Olam International Ltd vs Sri Sakthi Textiles Ltd on 14 February, 2002"
899,324679,2007-06-07,Bombay High Court,"Pawan Hans Helicopter Ltd., Formerly ... vs Associated Construction, A ... on 7 June, 2007"
900,1249452,2005-05-10,Andhra HC (Pre-Telangana),"Pallava Granite Industries India ... vs Andhra Pradesh Mineral Development ... on 10 May, 2005"
901,152910,2007-07-25,Madras High Court,"The Management Of vs The Presiding Officer on 25 July, 2007"
902,15551551,2002-02-14,Madras High Court,"Olam International Ltd. And Gill & Co. ... vs Sri Sakthi Textiles Ltd., Sri ... on 14 February, 2002"
903,901025,2002-04-18,Gujarat High Court,"Patel Metalizing Co. vs Union Of India (Uoi), Gm - Western ... on 18 April, 2002"
904,1035550,1990-11-16,Delhi High Court,"J.C. Budhraja vs Steel Authority Of India Limited on 16 November, 1990"
905,1917684,1994-07-05,Delhi High Court,"Delhi Development Authority vs Chandra Kant & Co. And Another on 5 July, 1994"
906,1056407,1978-11-21,Delhi High Court,"Pearelal & Sons (E.P.) (P) Ltd. vs V/O Mashpriborintorg And Anr. on 21 November, 1978"
907,399807,1977-05-02,Patna High Court,"The State Of Bihar vs R.B. Ojha For Ojha Brothers on 2 May, 1977"
908,173418,1961-01-03,Orissa High Court,"Britania Buildings And Iron Co. Ltd. vs State Of Orissa on 3 January, 1961"
909,829604,1965-06-04,Calcutta High Court,"Brindaban Chandra Basak vs Kalipada Bandopadhyay And Ors. on 4 June, 1965"
910,180359377,1800-01-01,Madras High Court,M/S.Chennai Petroleum Corporation Ltd vs M/S.Ion Exchange [India] Ltd
911,94190285,1800-01-01,Madras High Court,M/S.Chennai Petroleum Corporation Ltd vs M/S.Ion Exchange [India] Ltd
912,2062360,1800-01-01,Madras High Court,M/S.Chennai Petroleum Corporation Ltd vs M/S.Ion Exchange [India] Ltd
913,198713295,1800-01-01,Madras High Court,M/S. Varalakshmi Starch Industries (P) ... vs M/S. Man Rollo Power Generation India ...
914,24870999,1800-01-01,Madras High Court,The Superintending Engineer vs M. Murugan
915,152657734,2025-02-13,Karnataka High Court,"Sri B Prashanth vs Sri Ganesh S Poojari on 13 February, 2025"
916,34104192,2025-05-29,Delhi High Court,"Ahmedabad Municipal Corporation vs Sgs India Private Limited on 29 May, 2025"
917,133260343,2025-03-26,Madhya Pradesh High Court,"Smt. Hema Sharma vs New Agrawal Constructin Proprietor ... on 26 March, 2025"
918,85180517,2023-06-22,Madhya Pradesh High Court,"Meinhardt Singapore Pte Ltd. vs Bhopal Municipal Corporation Bmc on 22 June, 2023"
919,151043716,2022-08-02,Telangana High Court,"Dell International Services India Pvt. ... vs Analogics Tech India Ltd. on 2 August, 2022"
920,91337551,2022-11-25,Jammu & Kashmir High Court - Srinagar Bench,"Food Corporation Of India And Others vs M/S Iqbal Motors Transport Service And ... on 25 November, 2022"
921,187823570,2021-11-24,Gujarat High Court,"Datang Technologies And Engineering ... vs Gujarat State Electricity Corporation ... on 24 November, 2021"
922,105098154,2020-10-05,Madhya Pradesh High Court,"M/S Sai Sun Outsourcing Services Pvt. ... vs Chief Engineer on 5 October, 2020"
923,46166151,2021-01-07,Calcutta High Court,"Mina Begum vs The Kolkata Port Trust And Another on 7 January, 2021"
924,54918397,2020-11-23,Karnataka High Court,"Ashapura Minechem Limited vs Cargil International Trading Private ... on 23 November, 2020"
925,134571532,2019-06-20,Karnataka High Court,"M/S Devi Constructions vs M/S Fowler Westrup (India) Private ... on 20 June, 2019"
926,100543283,2018-07-24,Bombay High Court,"Orient Cement Limited Clinker Grinding ... vs Ramesh Dhannu Baviskar And Another on 24 July, 2018"
927,124999522,2020-03-11,Gujarat High Court,"Chairman - Sardar Sarovar Narmada Nigam ... vs V I Pandya on 11 March, 2020"
928,95406433,2017-05-09,Chattisgarh High Court,"Ivrcl Ltd. & Anr vs Union Of India & Ors on 9 May, 2017"
929,197460586,2011-07-04,Kerala High Court,"Hnl Casual And <b>Contract</b> Workers' Centre vs Union Of India Represented By Secretary on 4 July, 2011"
930,26484171,2014-11-25,Madhya Pradesh High Court,"The State Of Madhya Pradesh vs M/S Lion Engineering Consultants on 25 November, 2014"
931,155245251,2016-04-19,Allahabad High Court,"The Chairman Cum Managing Director ... vs General Sec.(Rep. By Mohd. Hasim Gnrl. ... on 19 April, 2016"
932,1929409,2011-02-23,Gujarat High Court,"M/S vs M on 23 February, 2011"
933,169944798,2014-09-25,Madras High Court,"The Management vs Bharat Petroleum Workers Union on 25 September, 2014"
934,148405711,2015-09-01,Himachal Pradesh High Court,"M/S Techno Electric And Engineering Co. ... vs M/S Satluj Jal Vidyut Nigam Ltd on 1 September, 2015"
935,198077367,2015-09-09,Delhi High Court,"Klen & Marshalls Manufacturers And ... vs Power Grid Corporation India Ltd. And ... on 9 September, 2015"
936,166924923,2016-04-26,Madhya Pradesh High Court,"State Of M.P. vs M/S K.T.Construction Limited, 31/6 on 26 April, 2016"
937,5940265,2012-07-04,Karnataka High Court,"Central Ware Housing Corporation vs M/S Ravi Constructions on 4 July, 2012"
938,1070044,2011-07-20,Delhi High Court,"Innovative B2B Logistics Solutions ... vs Uoi & Anr. on 20 July, 2011"
939,2821136,2016-02-29,Madhya Pradesh High Court,"M/S Seth Mohanlal Hiralal Construction ... vs Union Of India on 29 February, 2016"
940,1131267,2010-06-25,Gujarat High Court,"Rashtriya vs Union on 25 June, 2010"
941,1665794,2007-10-30,Madhya Pradesh High Court,"M.P. State Civil Supplies Corporation ... vs Marain Agarwal on 30 October, 2007"
942,279928,2006-11-22,Gauhati High Court,"J. Deep Chemicals And Fertilizers vs State Of Tripura And Ors. on 22 November, 2006"
943,174516923,2009-02-11,Delhi High Court,"M/S. S.K. Sharma vs Union Of India & Ors. on 11 February, 2009"
944,95922,1996-01-10,Madhya Pradesh High Court,"Gwalior Sugar Co. Ltd., Dabra vs Union Of India (Uoi) Through General ... on 10 January, 1996"
945,959473,2002-11-11,Rajasthan High Court - Jaipur,"Indian Telephone Industry Ltd. vs Madan Lal on 11 November, 2002"
946,1547570,1999-04-22,Madhya Pradesh High Court,"Arvind Iron And Steel Company vs Steel Authority Of India Ltd., Bhilai ... on 22 April, 1999"
947,1238374,2002-08-23,Gujarat High Court,"Mather And Platt (India) Ltd. vs India Petrochemicals Corp. Ltd. on 23 August, 2002"
948,187611834,2009-04-09,Calcutta High Court,"Union Of India vs Samarendra Nath Mukherjee on 9 April, 2009"
949,1375881,1975-04-16,Madras High Court,"M.P. Venkatachalapathy Iyer And Sons, A ... vs Balasubramaniam And Ors. on 16 April, 1975"
950,1994784,1991-05-16,Patna High Court,"National Thermal Power Corporation vs Engineers Enterprises on 16 May, 1991"
951,1548567,1979-08-10,Orissa High Court,"Kartik Enterprise (Pvt.) Ltd. vs The Orissa State Electricity Board And ... on 10 August, 1979"
952,57636639,2012-04-12,Chattisgarh High Court,"Shreejikrupa Project Ltd vs State Of Chhattisgarh on 12 April, 2012"
953,114140061,2024-07-29,Madras High Court,"Larsen & Toubro Limited vs M/S.Texmo Pipes And Products Limited on 29 July, 2024"
954,151214088,2021-04-09,Delhi High Court,"Mep Infrastructure Developers Ltd. vs South Delhi Municipal Corporation And ... on 9 April, 2021"
955,52431942,2017-12-08,Bombay High Court,"Vision Millennium Exports Pvt. Ltd vs M/S. Addax Trading Pvt. Ltd on 8 December, 2017"
956,137081697,2017-12-08,Bombay High Court,"Vision Millennium Exports Pvt Ltd vs M/S Frame Impex Pvt Ltd on 8 December, 2017"
957,37176365,2017-12-08,Bombay High Court,"Vision Millennium Exports Pvt. Ltd vs Sear Trading Pvt. Ltd on 8 December, 2017"
958,80698451,2017-12-08,Bombay High Court,"Vision Millennium Exports Pvt Ltd vs Arcadia Trading Pvt. Ltd on 8 December, 2017"
959,45980351,2017-12-08,Bombay High Court,"M/S Vision Millennium Exports Pvt Ltd vs M/S Imperial Marktrade (India) Pvt. Ltd on 8 December, 2017"
960,57763272,2017-12-08,Bombay High Court,"Vision Millennium Exports Pvt. Ltd vs M/S. Nova Trading Pvt. Ltd on 8 December, 2017"
961,63440854,2017-12-08,Bombay High Court,"Vision Millennium Exports Pvt. Ltd vs Sear Trading Pvt. Ltd on 8 December, 2017"
962,49771367,2017-12-08,Bombay High Court,"M/S Vision Millennium Exports Pvt Ltd vs M/S Vishal Victory Oiltech Pvt. Ltd on 8 December, 2017"
963,76317344,2017-12-08,Bombay High Court,"Vision Millennium Exports Pvt. Ltd vs M/S. Nova Trading Pvt. Ltd on 8 December, 2017"
964,54038306,2017-12-08,Bombay High Court,"M/S Vision Millennium Exports Pvt Ltd vs M/S Imperial Marktrade (India) Pvt. Ltd on 8 December, 2017"
965,198926870,2017-12-08,Bombay High Court,"Vision Millennium Exports Pvt. Ltd vs M/S. Utility Impex Pvt. Ltd on 8 December, 2017"
966,59928366,2017-12-08,Bombay High Court,"Vision Millennium Exports Pvt Ltd vs M/S Frame Impex Pvt Ltd on 8 December, 2017"
967,22517943,2019-04-26,Madras High Court,"The Union Of India vs M/S.Phoenix Technology Corporation on 26 April, 2019"
968,56031302,2017-12-08,Bombay High Court,"Vision Millennium Exports Pvt. Ltd vs M/S. Addax Trading Pvt. Ltd on 8 December, 2017"
969,187519076,2017-12-08,Bombay High Court,"M/S Vision Millennium Exports Pvt Ltd vs M/S Vishal Victory Oiltech Pvt. Ltd on 8 December, 2017"
970,68080197,2017-12-08,Bombay High Court,"Vision Millennium Exports Pvt. Ltd vs M/S. Utility Impex Pvt. Ltd on 8 December, 2017"
971,32934917,2017-12-08,Bombay High Court,"Vision Millennium Exports Pvt. Ltd vs M/S Stride Multitrade Pvt. Ltd on 8 December, 2017"
972,21058936,2017-12-08,Bombay High Court,"Vision Millennium Exports Pvt Ltd vs Arcadia Trading Pvt. Ltd on 8 December, 2017"
973,187062533,2014-09-23,Andhra HC (Pre-Telangana),"M/S. Tata Project Limited, Supply Chain ... vs M/S. Offshore Infrastructure ... on 23 September, 2014"
974,63009887,2015-04-28,Bombay High Court,"Oil And Natural Gas Corporation Ltd vs M/S.Jindal Drilling And Industries Ltd on 28 April, 2015"
975,121932356,2010-01-20,Delhi High Court,"Bhandari Engineers & Builders vs Vijaya Bank & Ors. on 20 January, 2010"
976,127884324,2015-04-28,Bombay High Court,"Oil And Natural Gas Corporation Ltd vs M/S.Jindal Drilling And Industries Ltd on 28 April, 2015"
977,275405,2009-12-15,Bombay High Court,"Corporation vs Ijm Corporation Berhad (Ijm) - Satyam on 15 December, 2009"
978,162343168,1800-01-01,Madras High Court,Kousic & Co vs The Chief Engineer
979,197315696,1800-01-01,Madras High Court,Suryadev Alloys And Power Private ... vs Indian Overseas Bank
980,45277836,2025-04-17,Rajasthan High Court - Jodhpur,"M/S Spml Infra Limited vs M/S S.N.C.C. Construction on 17 April, 2025"
981,196700612,2025-02-14,Andhra Pradesh High Court - Amravati,"Guthikonda Veera Venkata Murali ... vs Doradia Koteswara Rao on 14 February, 2025"
982,166585859,2025-03-28,Jharkhand High Court,"M/S Mecon Limited vs M/S City Construction Corp. Durgapur ... on 28 March, 2025"
983,159561356,2024-11-20,Madhya Pradesh High Court,"M/S Parasia Engineering Pvt. Ltd vs The State Of Madhya Pradesh on 20 November, 2024"
984,16799925,2025-02-24,Delhi High Court,"Roadwings International Private ... vs Container Corporation Of India Ltd. ... on 24 February, 2025"
985,144298530,2025-02-14,Andhra Pradesh High Court - Amravati,"Guthikonda Veera Venkata Murali Prasad vs Doradla Koteswara Rao on 14 February, 2025"
986,92192093,2024-08-13,Rajasthan High Court - Jaipur,"M/S Larsen And Toubro vs Rajasthan Urban Sector Development ... on 13 August, 2024"
987,81578606,2024-08-27,Delhi High Court,"M/S Manarajan Brahma vs National Highways And Infrastructure ... on 27 August, 2024"
988,175132263,2024-02-01,Tripura High Court,"Sri Nimai Kar vs The State Of Tripura on 1 February, 2024"
989,112142599,2024-02-01,Tripura High Court,"Sri Nimai Kar vs The State Of Tripura on 1 February, 2024"
990,2499952,2025-02-26,Madras High Court,"South Ganga Waters Technologies (P) Ltd vs Vedanta Limited on 26 February, 2025"
991,166763933,2023-07-04,Telangana High Court,"Sri Sai Krishna Constructions vs Harvins Constructions P Limited on 4 July, 2023"
992,108792184,2023-06-22,Calcutta High Court,"Orissa Metaliks Pvt. Ltd vs Sbw Electro Mechanics Import Export ... on 22 June, 2023"
993,20189180,2023-11-14,Madras High Court,"Abdul Quddhose.J vs Sakthi Sai Safety Glass India And Anr on 14 November, 2023"
994,52581763,2022-04-12,Uttarakhand High Court,"M/S Chandra Constructions vs Garrison Engineer (Project) Military ... on 12 April, 2022"
995,78431246,2022-06-06,Telangana High Court,"Devi Engineering And Construction ... vs Ramagundam Fertilizers And Chemicals ... on 6 June, 2022"
996,176449871,2023-01-03,Madras High Court,"Bharat Heavy Electricals Limited vs The Chairman on 3 January, 2023"
997,100509163,2022-12-27,Himachal Pradesh High Court,"Bali Ram Thakur vs The Union Of India And Another on 27 December, 2022"
998,147018925,2022-04-20,Gujarat High Court,"M/S Backbone Project Ltd vs Sardar Sarovar Narmada Nigam Ltd on 20 April, 2022"
999,7291408,2021-10-05,Delhi High Court,"Steel Authority Of India Limited vs M/S Sp Singla Contructions Pvt Ltd on 5 October, 2021"
1000,101168945,2021-04-23,Gujarat High Court,"M/S Sms Infrastructure Limited vs Gujarat State Road Development ... on 23 April, 2021"
